iter,mode,wall_s,forward_s,backward_s,optim_s,cpu_update_total_s,peak_alloc_gib,peak_reserved_gib,cpu_rss_gib,total_prefetch_ms,total_fwd_ms,total_recompute_ms,total_bwd_ms
0,ckpt,0.747152,0.251032,0.303691,0.031972,0.0,5.855472,5.910156,1.279724,0.0,248.094719,239.769507,278.676481
1,ckpt,0.457397,0.122293,0.288306,0.034454,0.0,5.949231,6.000000,1.282467,0.0,119.404545,351.279011,275.930112
2,ckpt,0.559147,0.227971,0.290790,0.033230,0.0,5.949231,6.000000,1.282833,0.0,224.572414,567.661477,276.989949
3,ckpt,0.448808,0.117196,0.290036,0.033547,0.0,5.949231,6.000000,1.283089,0.0,113.716224,673.136549,275.929088
4,ckpt,0.503177,0.125251,0.336546,0.033997,0.0,5.949231,6.000000,1.283356,0.0,121.976833,785.062821,324.722686
5,ckpt,0.457670,0.121612,0.294961,0.033155,0.0,5.949231,6.000000,1.283325,0.0,117.229568,894.670757,283.675648
6,ckpt,0.455148,0.124364,0.289406,0.032064,0.0,5.949231,6.000000,1.283440,0.0,119.826432,1006.197670,274.118717
7,ckpt,0.459483,0.123672,0.295131,0.032625,0.0,5.949231,6.000000,1.283520,0.0,120.166399,1117.518757,280.199168
8,ckpt,0.506079,0.141962,0.315188,0.038333,0.0,5.949231,6.000000,1.283508,0.0,136.739840,1244.918693,301.773823
9,ckpt,0.466868,0.132828,0.290425,0.033246,0.0,5.949231,6.001953,1.283569,0.0,129.474561,1365.091237,278.408193
