epoch,step,global_step,wall_ms,fwd_ms,bwd_ms,opt_ms,loss,tps,cpu_rss_gib,gpu_alloc_gib,gpu_resv_gib,peak_alloc_gib,peak_resv_gib,cum_wall_ms
0,0,0,716.316200,217.622269,462.228210,36.119072,13.53303814,357.384071,1.544273,6.500918,7.738281,7.661075,7.738281,716.316200
0,1,1,584.609000,161.614151,389.260712,33.592865,13.34970951,437.899519,1.564907,6.498965,8.318359,7.659122,8.318359,1300.925200
0,2,2,547.668900,153.809021,359.361053,34.355072,13.23039532,467.435708,1.580166,6.500918,8.318359,7.661075,8.318359,1848.594100
0,3,3,546.982400,156.673920,356.758667,33.423775,13.14000702,468.022371,1.599091,6.498965,8.318359,7.659122,8.318359,2395.576500
0,4,4,542.213400,149.233017,357.993011,34.850719,13.07028961,472.138829,1.617992,6.500918,8.318359,7.661075,8.318359,2937.789900
0,5,5,586.671500,173.304230,379.690460,33.528831,13.00634575,436.360041,1.633045,6.498965,8.318359,7.659122,8.318359,3524.461400
0,6,6,550.183600,155.472061,361.610016,32.873535,12.95425987,465.299220,1.650848,6.500918,8.318359,7.661075,8.318359,4074.645000
0,7,7,566.228300,164.116837,367.422913,34.521408,12.90548229,452.114456,1.670567,6.498965,8.318359,7.659122,8.318359,4640.873300
0,8,8,545.542000,150.247299,361.852783,33.273312,12.86195087,469.258096,1.686604,6.500918,8.318359,7.661075,8.318359,5186.415300
0,9,9,543.567300,150.372070,359.911743,33.159904,12.82075882,470.962841,1.705967,6.498965,8.318359,7.659122,8.318359,5729.982600
0,10,10,434.178200,125.165123,275.080200,33.757408,12.78758621,589.619654,2.696918,6.500918,8.318359,7.661075,8.318359,6164.160800
0,11,11,434.864400,126.111710,275.414948,33.209023,12.74954128,588.689256,2.696991,6.498965,8.318359,7.659122,8.318359,6599.025200
0,12,12,426.182100,124.383263,267.532288,34.139488,12.71710873,600.682197,2.697010,6.500918,8.318359,7.661075,8.318359,7025.207300
0,13,13,427.863700,128.516998,264.907837,34.314465,12.68468952,598.321381,2.697029,6.498965,8.318359,7.659122,8.318359,7453.071000
0,14,14,436.397100,143.970337,257.823822,34.416225,12.65948105,586.621680,2.697037,6.500918,8.318359,7.661075,8.318359,7889.468100
0,15,15,420.259700,125.392418,262.490509,32.253471,12.63184166,609.147154,2.697056,6.498965,8.318359,7.659122,8.318359,8309.727800
0,16,16,559.007000,254.951645,269.955444,33.967327,12.60363674,457.954909,2.697056,6.500918,8.318359,7.661075,8.318359,8868.734800
0,17,17,449.114200,131.496002,284.522186,32.977375,12.57731152,570.010924,2.697056,6.498965,8.318359,7.659122,8.318359,9317.849000
0,18,18,428.318300,126.800766,268.439789,32.949600,12.55109406,597.686347,2.697056,6.500918,8.318359,7.661075,8.318359,9746.167300
0,19,19,434.365500,125.136894,273.688477,35.408863,12.52586365,589.365408,2.697056,6.498965,8.318359,7.659122,8.318359,10180.532800
0,20,20,439.785800,130.065857,275.191437,34.404926,12.50495148,582.101559,2.697071,6.500918,8.318359,7.661075,8.318359,10620.318600
0,21,21,439.934700,128.685730,276.628387,34.503426,12.48445129,581.904542,2.697075,6.498965,8.318359,7.659122,8.318359,11060.253300
0,22,22,457.896300,138.503006,284.188385,35.029217,12.46514797,559.078551,2.697083,6.500918,8.318359,7.661075,8.318359,11518.149600
0,23,23,425.834500,126.735359,265.772003,33.199711,12.44608402,601.172521,2.697090,6.498965,8.318359,7.659122,8.318359,11943.984100
0,24,24,424.279600,130.411163,260.223267,33.477440,12.43225861,603.375698,2.697090,6.500918,8.318359,7.661075,8.318359,12368.263700
0,25,25,445.356200,134.943939,276.878326,33.397858,12.41565514,574.820784,2.697094,6.498965,8.318359,7.659122,8.318359,12813.619900
0,26,26,427.492100,124.483261,268.223267,34.663616,12.40063477,598.841476,2.697102,6.500918,8.318359,7.661075,8.318359,13241.112000
0,27,27,436.221400,121.933571,281.030457,33.136063,12.38728237,586.857958,2.697105,6.498965,8.318359,7.659122,8.318359,13677.333400
0,28,28,416.955600,124.070396,259.579712,33.183872,12.37672138,613.974246,2.697113,6.500918,8.318359,7.661075,8.318359,14094.289000
0,29,29,421.522700,122.986526,263.241455,35.166336,12.36264801,607.321978,2.697121,6.498965,8.318359,7.659122,8.318359,14515.811700
