layer,mean,lo,hi,n
0,5.671261793103448,5.1516076465260605,6.190915939680836,29
1,5.713434482758621,5.153425233222494,6.273443732294748,29
2,5.685022896551724,5.148890519480427,6.221155273623022,29
3,5.869318620689655,5.157171413075064,6.581465828304246,29
4,5.928615724137931,5.071834452353608,6.7853969959222535,29
5,6.002753103448276,5.3390046930428685,6.666501513853683,29
6,5.8413506206896555,5.142949943927099,6.539751297452212,29
7,5.856772413793103,5.200749053094592,6.5127957744916145,29
8,5.7211321379310345,5.077004669111707,6.365259606750362,29
9,5.793504,5.154005127005221,6.43300287299478,29
10,5.607738482758621,5.0312697096663515,6.1842072558508905,29
11,5.7583955862068965,5.169809856899954,6.346981315513839,29
12,5.516634482758621,4.908059287942851,6.125209677574392,29
13,5.603078620689655,4.871048744102068,6.3351084972772425,29
14,5.321942068965518,4.471296722633876,6.172587415297159,29
15,5.562242206896552,4.6823032225550145,6.442181191238089,29
16,5.164802206896552,4.21769574793978,6.111908665853324,29
17,5.215568551724138,4.333444967907525,6.0976921355407505,29
18,5.136029793103448,4.3747831926528775,5.897276393554019,29
19,5.228451310344828,4.3771850155314995,6.079717605158156,29
20,5.100504275862069,4.3230154547494335,5.877993096974705,29
21,4.756200827586206,4.0148395537075885,5.497562101464824,29
22,4.846913103448276,4.1311201515171305,5.562706055379422,29
23,4.352087172413793,3.664359846833864,5.039814497993721,29
24,4.328486620689655,3.674456788571519,4.982516452807792,29
25,3.796623448275862,3.5255155336869044,4.067731362864819,29
26,3.7520331034482757,3.5595794916862022,3.944486715210349,29
27,3.7120562758620688,3.4963808498069624,3.927731701917175,29
