layer,fwd_mean_r0,fwd_mean_r1,bwd_mean_r0,bwd_mean_r1,total_mean_r0,total_mean_r1,delta_total_ms
0,5.156741517241379,4.45982675862069,5.671261793103448,10.410230068965518,10.828003310344828,14.870056827586208,4.04205351724138
1,4.283006896551724,4.51360551724138,5.713434482758621,10.571956965517241,9.996441379310344,15.08556248275862,5.089121103448276
2,4.496822068965517,4.262234482758621,5.685022896551724,10.464602482758622,10.181844965517241,14.72683696551724,4.544991999999999
3,4.232832,4.404741517241379,5.869318620689655,10.193094620689655,10.102150620689654,14.597836137931035,4.49568551724138
4,4.3076148965517245,4.690699034482758,5.928615724137931,10.546457379310345,10.236230620689655,15.237156413793102,5.0009257931034465
5,4.047124965517241,4.3747718620689655,6.002753103448276,10.597172965517242,10.049878068965517,14.971944827586206,4.922066758620689
6,4.551118344827586,4.388742620689656,5.8413506206896555,10.497019586206896,10.39246896551724,14.885762206896551,4.493293241379311
7,4.244633379310345,4.410532413793104,5.856772413793103,10.699403034482758,10.101405793103448,15.109935448275863,5.008529655172415
8,4.443787034482758,4.262427586206896,5.7211321379310345,10.448356413793103,10.164919172413793,14.710784,4.5458648275862075
9,4.759704275862069,4.209187310344828,5.793504,10.485789793103448,10.553208275862069,14.694977103448275,4.141768827586207
10,4.127048827586207,4.3705335172413795,5.607738482758621,10.48670124137931,9.734787310344828,14.85723475862069,5.122447448275862
11,4.384587034482759,4.053026206896552,5.7583955862068965,10.38692524137931,10.142982620689656,14.439951448275862,4.2969688275862055
12,4.337937655172413,8.245191793103448,5.516634482758621,10.441276689655172,9.854572137931035,18.68646848275862,8.831896344827586
13,4.222217931034483,4.3711150344827585,5.603078620689655,10.304275862068966,9.825296551724138,14.675390896551725,4.850094344827587
14,4.18257875862069,4.147500137931035,5.321942068965518,10.353344,9.504520827586207,14.500844137931034,4.9963233103448275
15,4.041539310344827,4.114073379310344,5.562242206896552,10.245366068965517,9.603781517241378,14.359439448275863,4.755657931034484
16,4.290011586206896,4.47863724137931,5.164802206896552,10.229480827586206,9.454813793103447,14.708118068965517,5.253304275862069
17,4.048832,4.122244413793104,5.215568551724138,10.601729103448276,9.264400551724139,14.72397351724138,5.459572965517241
18,3.8990146206896554,4.616027586206896,5.136029793103448,10.523804689655172,9.035044413793104,15.13983227586207,6.1047878620689655
19,4.148299034482759,4.048620137931034,5.228451310344828,10.290513655172413,9.376750344827585,14.339133793103448,4.9623834482758635
20,4.0119106206896555,4.3073081379310345,5.100504275862069,10.789624275862069,9.112414896551725,15.096932413793104,5.984517517241379
21,4.164730482758621,4.290824827586207,4.756200827586206,10.478554482758621,8.920931310344827,14.769379310344828,5.848448000000001
22,3.946033655172414,4.364302344827586,4.846913103448276,10.24691751724138,8.792946758620689,14.611219862068966,5.818273103448277
23,4.146315034482759,4.504620137931035,4.352087172413793,10.08257103448276,8.498402206896552,14.587191172413794,6.088788965517242
24,4.083527724137931,4.333662896551724,4.328486620689655,7.946862344827586,8.412014344827586,12.280525241379312,3.868510896551726
25,4.44355751724138,4.354753103448276,3.796623448275862,6.377244689655173,8.240180965517242,10.731997793103448,2.491816827586206
26,4.276353103448276,4.3450648275862065,3.7520331034482757,5.144441379310345,8.028386206896553,9.489506206896552,1.4611199999999993
27,4.388340965517242,4.221110068965517,3.7120562758620688,5.160525241379311,8.10039724137931,9.381635310344828,1.2812380689655178
